Gene,Cox_coefficient,Raw_p-value,BH-adjusted_p-value,Median_Expression,Mean_Expression
TSPAN31,0.2873,0.0017,0.550538462,1567.5287,6905.934211
DNAJC30,0.3314,0.0018,0.571924528,417.6083,439.9262915
PCDHA9,0.2849,0.0019,0.576105263,2.9375,18.2954402
UTP4,-0.3104,0.002,0.576105263,1048.1786,1071.619076
GAL3ST2,0.2907,0.002,0.576105263,3.0827,4.409642484
ADGRG6,-0.2868,0.002,0.576105263,68.5959,93.18994085
FUT8-AS1,0.3121,0.002,0.576105263,15.6784,17.99091013
OSBPL5,0.3025,0.0021,0.576105263,508.5616,515.7106232
ANO4,0.3106,0.0022,0.576105263,26.1375,56.4797219
LILRB3,0.2917,0.0022,0.576105263,45.5749,57.04748758
WFDC2,0.2795,0.0022,0.576105263,26.5916,39.63527909
ANKH,0.2941,0.0023,0.576105263,1534.039,1634.177283
YWHAG,0.2826,0.0023,0.576105263,6474.9716,6716.328662
C3orf36,0.3053,0.0024,0.576105263,1.6971,3.748062092
CYS1,0.301,2.40E-03,0.576105263,23.9464,34.38994248
LOXL1,0.3243,0.0024,0.576105263,204.75185,367.1465977
SLC35C1,0.3037,0.0024,0.576105263,589.779,602.1070193
SMPD1,0.305,0.0024,0.576105263,1327.2481,1376.025326
ZNF564,-0.2702,2.40E-03,0.576105263,223.2678,235.556718
CCDC127,0.2782,0.0025,0.576105263,404.3926,407.1821046
SRD5A1,0.3052,0.0025,0.576105263,268.2724,294.2155448
ACOT7,0.2784,2.60E-03,0.576105263,765.0108,904.1971007
FAM35A,-0.28562,0.0026,0.576105263,399.0012,426.5051912
PLCH1,0.2925,0.0026,0.576105263,72.2819,101.9069709
VGF,0.2975,0.0026,0.576105263,492.8653,1848.059357
FLJ23867,0.2961,2.70E-03,0.590493506,76.3879,85.76235458
CD81,0.2771,0.0028,0.604512821,17630.187,18549.15651
SOX21,-0.2862,0.0031,0.629373737,653.4239,698.7065409
B3GNT4,0.3105,0.0032,0.629373737,6.5127,9.576649346
DDX25,0.2887,3.20E-03,0.629373737,106.5574,151.610652
IQSEC2,0.2777,0.0032,0.629373737,431.9909,484.9419199
ITGBL1,0.2762,0.0032,0.629373737,73.4475,121.282834
LOC653786,0.286,0.0032,0.629373737,5.411,11.55095915
ZNF562,-0.2648,0.0032,0.629373737,473.1293,487.1325909
ARF3,0.2844,3.30E-03,0.629373737,6488.0972,6538.381878
CD180,0.2943,3.30E-03,0.629373737,118.9393,156.5590696
ZKSCAN3,-0.246,0.0033,0.629373737,65.884,69.15357712
DCANP1,0.2819,0.0035,0.629373737,2.47035,3.778299673
SCARA3,0.2716,0.0035,0.629373737,3653.7313,4292.250625
ZNF844,-0.278,0.0035,0.629373737,174.9623,182.0094817
FAM90A1,0.2756,0.0036,0.629373737,12.2616,16.91712516
GPR153,0.3001,3.60E-03,0.629373737,260.241,375.4716781
LOC344967,0.2658,0.0036,0.629373737,3.7758,4.578733333
NSUN5,0.2717,0.0036,0.629373737,529.8246,537.5354967
ITGB5,0.2682,0.0037,0.629373737,1639.4302,1876.998509
ITGB7,0.2844,0.0037,0.629373737,47.7045,57.95761667
LIMK1,0.2908,0.0037,0.629373737,2179.587,2351.026881
ZNF136,-0.2793,3.70E-03,0.629373737,283.9757,293.8426598
ANKRD55,0.3097,3.80E-03,0.637631068,4.5249,7.394590196
TENM2,0.281,0.0039,0.637631068,59.4562,187.0863484
RPL39L,0.2937,0.0039,0.637631068,112.4742,185.1024974
SUGT1P3,-0.2762,0.0039,0.637631068,32.628,38.11837647
LINC00957,0.2552,0.004,0.639296296,70.4728,82.53309641
SAMM50,-0.279,0.004,0.639296296,908.8468,927.2143562
C7orf31,0.2597,0.0041,0.639296296,137.8244,145.1115206
GJB2,0.2916,0.0041,0.639296296,104.463,356.4029065
STEAP2,0.277,0.0041,0.639296296,126.767,189.0352699
ZNF569,-0.283,4.20E-03,0.646535714,243.8456,261.3578346
ABCB7,-0.2815,0.0043,0.646535714,479.0615,500.7016837
L1CAM,0.2658,0.0043,0.646535714,178.9824,499.164449
SEZ6L2,0.2602,0.0043,0.646535714,1140.4472,1404.090568
MPO,0.314,0.0044,0.653275862,5.3249,11.93298889
RHBDD2,0.2648,0.0045,0.653275862,4983.6625,5353.916808
TMEM196,0.2708,4.50E-03,0.653275862,10.7444,43.6233732
ZFP1,-0.28891,0.0045,0.653275862,436.8897,451.8419163
ACTR3C,0.2558,0.0046,0.654115702,5.9395,11.55286307
CACNB2,0.2734,4.60E-03,0.654115702,130.6685,150.1816618
CUX1,0.2792,0.0047,0.654115702,1891.3228,1907.619479
RTN4,0.2512,0.0047,0.654115702,8909.0476,9241.369648
URGCP,0.2795,0.0047,0.654115702,1117.2691,1144.970197
VDR,0.2675,0.0048,0.654215827,37.5134,71.19303333
GFOD1,0.2758,0.0049,0.654215827,8.726,11.82417843
TMEM233,0.2707,0.005,0.654215827,7.9406,15.81108824
CHGB,0.2772,5.10E-03,0.654215827,257.1837,436.124468
EYA2,-0.2535,5.10E-03,0.654215827,431.0127,563.8757425
FAM3C,0.2599,0.0051,0.654215827,2372.108,2420.748387
INSC,0.2785,5.10E-03,0.654215827,1.3396,4.650216013
PTPRH,0.2883,0.0051,0.654215827,27.4941,53.1639317
SGSM1,0.2784,0.0051,0.654215827,64.2959,96.86931471
RAB3C,0.2746,5.20E-03,0.654215827,7.0932,26.39980915
UNC79,0.2723,5.30E-03,0.654215827,103.7863,154.9732598
RABGEF1,0.2668,0.0053,0.654215827,1189.0981,1209.625781
ZBTB6,-0.2766,0.0053,0.654215827,391.6614,400.1316317
ATP6V0A1,0.2667,5.40E-03,0.654215827,2410.1403,2556.691183
BMPR1A,-0.2702,0.0054,0.654215827,502.2936,534.0513412
ITPKA,0.2879,0.0054,0.654215827,95.3895,121.1698663
MED10,0.274,0.0054,0.654215827,596.0666,605.4658562
NRG1,0.2912,0.0054,0.654215827,14.4404,45.66923366
KRT86,0.2584,5.50E-03,0.656879433,1.9573,5.658976797
NRSN1,0.2771,5.50E-03,0.656879433,163.9194,273.8017314
MSTN,-0.2722,0.0056,0.664112676,154.1784,372.5307575
OLFM1,0.2814,0.0058,0.683020979,1660.7864,2411.912199
LMNTD2,0.2612,0.006,0.696827586,4.878,10.47603399
WBSCR16,0.2948,0.006,0.696827586,1208.6187,1221.078935
FAM53A,0.2663,0.0061,0.698755187,8.241,10.89003399
P2RY2,0.2723,0.0061,0.698755187,8.2239,11.24472876
SMIM10L2A,0.2698,6.20E-03,0.698755187,146.51,185.3963961
CTSD,0.2789,0.0063,0.698755187,12316.6935,14192.06132
GALNT11,0.2641,0.0063,0.698755187,1160.9667,1206.885271
PRIMA1,0.2633,6.30E-03,0.698755187,269.9301,331.0175869
PDLIM4,0.2707,0.0064,0.698755187,715.1782,1117.104775
SFTPD,0.2706,6.40E-03,0.698755187,4.878,9.754489869
ZNF527,-0.2622,0.0065,0.698755187,202.4342,211.9604317
CPSF3L,-0.2533,6.60E-03,0.698755187,1606.6566,1692.217166
ORC2,-0.2539,6.60E-03,0.698755187,319.7349,322.1195889
SRSF11,-0.2395,0.0066,0.698755187,2623.3802,2760.47128
WDR7,0.2443,0.0067,0.698755187,623.7475,643.084881
C18orf8,0.2652,0.0068,0.698755187,399.9539,411.7321059
GHDC,0.2317,0.0068,0.698755187,710.3536,747.3105807
MKRN1,0.2609,0.0068,0.698755187,2495.8908,2477.407044
LBH,0.2976,0.0069,0.698755187,1112.0518,1272.49832
TRABD2A,0.2956,0.007,0.698755187,8.9241,15.96021438
CADM3,0.2651,7.00E-03,0.698755187,1874.9937,2779.782888
GJA3,-0.2585,7.00E-03,0.698755187,14.6535,34.99654314
HOXB9,0.3011,0.007,0.698755187,4.6113,23.60859641
LSP1,0.2583,0.0072,0.698755187,583.662,726.6989428
TBL1XR1,-0.2706,0.0073,0.698755187,2004.8879,2094.605476
SLC35B4,0.2464,0.0074,0.698755187,1238.5321,1288.779618
STX1A,0.2695,0.0074,0.698755187,258.6116,348.9442124
SYT5,0.2688,0.0074,0.698755187,109.3429,176.2230007
GRN,0.266,0.0075,0.698755187,5023.2247,5525.926023
KARS,-0.2694,0.0075,0.698755187,2486.8437,2456.117858
SAMD13,-0.2841,0.0075,0.698755187,64.7103,78.57789444
ZNF383,-0.2435,0.0075,0.698755187,103.0072,112.2552824
CTAGE1,-0.2541,0.0076,0.698755187,5.6009,7.186006209
LYNX1,0.2554,0.0076,0.698755187,786.9634,961.1429536
MAPRE3,0.2658,0.0076,0.698755187,992.0174,1101.49239
TOLLIP,0.2684,0.0076,0.698755187,1840.9962,1919.853658
FAM175A,-0.2617,0.0077,0.698755187,148.734,165.6584026
UBE2QL1,0.2655,7.80E-03,0.698755187,157.3927,263.5442016
RHOBTB2,0.2702,0.0079,0.698755187,773.5515,861.6086359
AACS,0.2601,0.0081,0.698755187,450.6009,467.0564095
LRRFIP1,0.2614,0.0081,0.698755187,1076.8079,1121.095086
TCEAL6,0.2712,0.0081,0.698755187,51.3861,100.5876245
ZNF442,-0.2422,0.0081,0.698755187,40.0763,42.48237451
NDEL1,0.275,0.0082,0.698755187,694.5404,707.6750049
SPRYD3,0.2445,0.0084,0.698755187,1247.5294,1338.19403
GPAT3,0.2608,0.0085,0.698755187,18.3402,29.31841536
GPC5,0.27076,0.0085,0.698755187,52.3016,122.6611415
ZEB1-AS1,-0.2692,0.0087,0.698755187,86.2876,97.54491928
CCBL2,-0.2628,8.80E-03,0.698755187,517.2665,552.4604922
HOXB5,0.2591,0.0088,0.698755187,3.9526,24.34025654
MICAL2,0.2578,0.0088,0.698755187,360.7303,484.4832608
ALOXE3,0.27,0.0089,0.698755187,1.9831,3.29785915
C14orf169,0.246852,0.0089,0.698755187,129.6071,141.4847886
POM121L1P,0.266,0.0089,0.698755187,2.0764,3.158443464
RGS7,0.2706,0.0089,0.698755187,54.2105,82.33160229
DCSTAMP,0.2565,0.0089,0.698755187,4.1797,10.47040915
PLBD2,0.2454,0.009,0.698755187,643.7168,687.2742065
POU4F3,0.266,0.009,0.698755187,1.2072,1.372485621
SYNDIG1L,0.259,0.009,0.698755187,6.6395,15.63821078
ATP6AP1,0.2417,0.0091,0.698755187,4776.8221,4933.431509
SH3RF2,0.2853,0.0091,0.698755187,3.6569,7.19119281
HPCAL4,0.261,0.0092,0.698755187,286.5697,523.7293732
SIL1,0.2427,0.0092,0.698755187,741.43,813.5176013
ZNF529,-0.2404,0.0092,0.698755187,501.41205,531.537182
SLC7A14,0.258,9.30E-03,0.698755187,92.7004,178.3684657
ZNF606,-0.2442,0.0093,0.698755187,475.262,510.6413085
EPRS,-0.2468,0.0094,0.698755187,2431.81065,2510.017179
NR1I3,0.2417,9.40E-03,0.698755187,10.76105,11.36363824
NAT16,0.2614,9.50E-03,0.698755187,41.6263,95.81067516
FKBP9,0.2499,0.0095,0.698755187,3610.1083,3961.089147
ZNF561,-0.2273,0.0095,0.698755187,601.2024,644.5833275
LRRC61,0.2365,0.0096,0.698755187,121.6751,203.1590072
TMTC1,0.2629,0.0096,0.698755187,288.242,361.0754699
HGSNAT,0.2536,0.0097,0.698755187,1358.4117,1422.627475
GART,-0.2517,0.0098,0.698755187,1555.1524,1604.268249
CPQ,0.2594,0.0098,0.698755187,786.5731,804.4073448
FBXO28,-0.2309,0.0099,0.698755187,879.0984,871.9874556
FRAT2,-0.2576,0.0099,0.698755187,152.7411,160.0791673
ISG20,0.2241,0.0099,0.698755187,157.4618,179.515719
MPRIP,0.2446,0.0099,0.698755187,2037.6731,2033.331377
RIT2,0.2684,0.0099,0.698755187,38.7869,114.4480216
ABCG2,-0.2483,0.01,0.698755187,810.0775,929.3584069
BACE2,0.2625,0.01,0.698755187,427.337,539.9666497
CNPY4,0.2589,0.01,0.698755187,722.4306,782.2243529
DENND2D,0.2465,0.01,0.698755187,115.3484,138.1999944
ENAH,-0.2526,0.01,0.698755187,3357.6434,3506.411866
FAM20C,0.262,0.01,0.698755187,2799.3027,3857.747951
GALE,0.2408,0.01,0.698755187,395.4373,410.8227915
GUCY2C,0.2763,0.01,0.698755187,1.7301,2.004063399
HOXC13,0.2646,0.01,0.698755187,16.12705,70.73770556
HS3ST5,0.2581,0.01,0.698755187,13.7812,23.68057876
March4,0.2295,0.01,0.698755187,28.754,57.85194935
OPN3,0.2417,0.01,0.698755187,283.8876,298.0126592
PHF6,-0.2415,0.01,0.698755187,801.0417,821.4635376
PIP4K2C,0.2436,0.01,0.698755187,835.6998,1424.607589
PODNL1,0.28,0.01,0.698755187,41.0655,97.30666111
VWA1,0.2467,0.01,0.698755187,1640.8097,1865.934994
ZNF420,-0.23863,0.01,0.698755187,250.7463,279.1501889
AEBP1,0.2273,0.011,0.707022901,8510.0495,10085.65728
KIAA0930,0.2557,1.10E-02,0.707022901,1687.7828,1892.456819
GCFC2,-0.237,0.011,0.707022901,313.6543,336.4127876
CFAP65,0.2172,0.011,0.707022901,7.1652,30.68004575
CSNK1D,0.2355,0.011,0.707022901,3827.7305,3776.805889
ACKR1,0.2377,0.011,0.707022901,103.4483,153.7750154
DBNL,0.2488,0.011,0.707022901,2597.3807,2713.913845
DNAJA4,0.2748,0.011,0.707022901,379.2808,439.4979144
HAS1,0.2634,0.011,0.707022901,3.3113,12.94403105
ITGA3,0.255,0.011,0.707022901,1262.6506,2297.25012
JHDM1D-AS1,0.2424,0.011,0.707022901,123.0141,147.3546539
PDE1B,0.2667,0.011,0.707022901,163.2399,203.9563369
PDIA4,0.26384,0.011,0.707022901,4644.9384,4941.656324
PQLC2,0.242,0.011,0.707022901,426.2295,439.5121435
SARDH,0.26164,0.011,0.707022901,73.8525,95.86874412
SCARB2,0.2311,1.10E-02,0.707022901,7305.3067,7373.970655
SLC16A13,0.2534,0.011,0.707022901,37.1367,40.54707778
SYTL5,0.2416,0.011,0.707022901,43.3127,77.59824379
VWA5A,0.2294,0.011,0.707022901,784.6608,853.4047144
ZNF22,-0.2433,0.011,0.707022901,881.5793,937.6698317
ZNF732,-0.2366,0.011,0.707022901,2.7644,3.935037582
AGBL4,0.2362,0.012,0.721714286,21.4085,29.29260458
ARMC10,0.248,0.012,0.721714286,750.8249,826.7169438
BTN2A3P,-0.2436,0.012,0.721714286,20.1042,22.48689216
FNDC4,0.2435,0.012,0.721714286,1397.9862,1502.533927
KDSR,0.2276,0.012,0.721714286,1351.764,1408.622991
RASAL2-AS1,0.2335,1.20E-02,0.721714286,18.5759,21.28773954
ZMIZ1-AS1,0.2695,0.012,0.721714286,12.5524,20.39353105
LOXL4,0.25,0.012,0.721714286,37.2184,91.21997222
March7,-0.2337,0.012,0.721714286,1423.0642,1456.146073
MLPH,0.2595,0.012,0.721714286,6.812,35.29155098
PLAUR,0.2558,0.012,0.721714286,494.9605,684.435334
RNF175,0.2472,0.012,0.721714286,76.9231,106.710584
SMAD9,-0.2321,0.012,0.721714286,108.8769,124.4015807
SOHLH2,-0.2169,1.20E-02,0.721714286,43.5404,70.07969641
TULP2,0.249,0.012,0.721714286,1.6503,2.391790523
UPP1,0.2433,0.012,0.721714286,779.3979,946.3118386
VSTM2L,0.239,0.012,0.721714286,119.9436,198.466283
ZNF443,-0.2262,0.012,0.721714286,69.3049,72.29146797
AP3B2,0.2548,1.30E-02,0.74462585,454.9853,488.4587804
BIRC3,0.2332,0.013,0.74462585,116.9025,208.5977549
C7orf25,0.2143,0.013,0.74462585,390.529,443.1716062
ERRFI1,0.2287,0.013,0.74462585,807.6199,1153.684046
MROH1,0.236,0.013,0.74462585,393.3612,403.1527418
NDUFB2-AS1,0.2496,0.013,0.74462585,17.5655,18.37079216
METAP1D,-0.2284,0.013,0.74462585,95.5204,101.177215
MFN1,-0.2316,0.013,0.74462585,576.6509,619.2283892
NMD3,-0.2623,0.013,0.74462585,1221.5106,1251.513783
NUAK1,0.248,0.013,0.74462585,458.0116,500.9640588
ORAI2,0.2356,0.013,0.74462585,1811.3329,1856.393007
PELI3,0.2346,0.013,0.74462585,210.81,235.4915471
PPM1J,0.2466,0.013,0.74462585,61.5911,65.6847915
UBA2,-0.2226,0.013,0.74462585,2601.6365,2815.729956
CDYL,-0.24961,0.014,0.758558559,688.6305,705.4498451
CTSB,0.228,0.014,0.758558559,22971.1867,28550.232
FLJ36777,0.2322,0.014,0.758558559,9.4994,13.56264935
IGFBP6,0.2553,0.014,0.758558559,110.7379,295.4656902
LOC100132111,0.2378,0.014,0.758558559,2.0284,4.491313072
NUDT21,-0.2383,0.014,0.758558559,2164.0365,2217.016216
OGFOD1,-0.2377,0.014,0.758558559,999.5748,1010.465908
PLK2,0.2312,0.014,0.758558559,479.4366,587.4298167
PRPF4B,-0.2231,0.014,0.758558559,1301.0899,1291.055691
PTX3,0.2504,0.014,0.758558559,426.8707,905.3977944
SCN3B,0.2473,0.014,0.758558559,249.1468,426.0391912
SETD6,-0.2227,0.014,0.758558559,290.4507,299.2765833
SNX31,-0.23766,0.014,0.758558559,12.0334,31.31306765
TSPAN6,-0.224,0.014,0.758558559,1727.7474,1990.899481
ZNF223,-0.2152,0.014,0.758558559,120.6982,124.1539134
ZNF639,-0.2398,0.014,0.758558559,795.6814,849.1473003
ABCB9,0.2159,0.015,0.758558559,249.1264,304.7518261
AP1S1,0.2417,0.015,0.758558559,1697.3684,1833.829054
NOP14-AS1,0.2464,0.015,0.758558559,367.5441,382.7635
EPB41L4B,0.2294,0.015,0.758558559,60.5508,103.8255141
FCRLB,0.247,0.015,0.758558559,45.9496,54.46925196
G6PC3,0.2326,0.015,0.758558559,2539.42965,2591.443212
GALNT6,0.2271,0.015,0.758558559,77.1402,99.82087876
GDF6,0.2413,1.50E-02,0.758558559,3.5796,9.900181046
GUCA1A,0.2235,0.015,0.758558559,2.8507,12.66015719
HTATIP2,0.2337,0.015,0.758558559,277.6689,370.9903294
IRX1,0.2437,1.50E-02,0.758558559,130.4796,248.4556771
NPC1,0.2396,0.015,0.758558559,1225.7114,1318.582406
NXPH4,0.2187,0.015,0.758558559,167.7986,266.4792578
PCSK1,0.2596,0.015,0.758558559,256.4103,490.6919716
PIGV,0.2206,0.015,0.758558559,293.379,307.9931582
POR,0.26,0.015,0.758558559,2060.1437,2219.579529
SLC16A11,0.2279,0.015,0.758558559,21.3542,35.12804216
STAG2,-0.2511,0.015,0.758558559,2435.2941,2484.265594
TAX1BP3,0.2236,0.015,0.758558559,1558.0673,1772.475512
ZSCAN31,-0.2369,0.015,0.758558559,133.3333,147.743815
ZNF480,-0.2314,0.015,0.758558559,351.7413,371.672485
ZNF625,-0.1992,0.015,0.758558559,51.8421,57.29116732
ZNF708,-0.2344,0.015,0.758558559,267.5988,286.3533307
ATP6V1C1,0.2222,0.016,0.765454545,1378.4404,1440.006641
GTF3C3,-0.2241,0.016,0.765454545,521.1025,541.5168085
IMPDH1,0.2266,0.016,0.765454545,756.447,805.2042127
MTMR14,0.2326,0.016,0.765454545,688.1468,699.5855327
MXRA8,0.2645,0.016,0.765454545,980.938,1261.339255
NUDT9,0.2339,0.016,0.765454545,650.8467,653.0370324
PTRF,0.2303,0.016,0.765454545,3492.7935,3974.627206
SNRNP40,-0.201,0.016,0.765454545,916.8074,974.9820634
STC1,0.2544,0.016,0.765454545,195.693,310.1047533
VAT1L,0.2397,1.60E-02,0.765454545,357.3261,672.1688203
VGLL2,0.2423,0.016,0.765454545,6.9488,23.7319951
XIRP2,-0.225,0.016,0.765454545,2.8507,5.061278105
ZNF627,-0.2073,0.016,0.765454545,684.3911,790.7652722
ZNF788,-0.2181,1.60E-02,0.765454545,139.5248,154.5783183
ADAMTSL4,0.2309,0.017,0.765454545,167.6083,240.1360101
ATP13A2,0.2203,0.017,0.765454545,1628.7879,1663.19004
ATXN7L3,0.2321,0.017,0.765454545,1135.74925,1168.238867
DNAAF2,-0.2217,0.017,0.765454545,301.2073,328.8052193
CDHR2,0.2346,0.017,0.765454545,1.7913,3.269597712
CNDP2,0.2187,0.017,0.765454545,4277.0966,4401.312057
CTDP1,0.224,0.017,0.765454545,420.6104,434.5242807
DDIT3,0.2252,0.017,0.765454545,836.3636,1356.302422
EDN3,-0.2468,0.017,0.765454545,46.1049,329.5930673
FOXF2,-0.2271,0.017,0.765454545,177.8947,224.7013078
GGT3P,0.2455,0.017,0.765454545,2.4522,3.115970261
HLA-DPB2,0.247,0.017,0.765454545,3.1579,5.650756863
HMX1,0.2324,1.70E-02,0.765454545,4.1068,68.83552222
HOXD11,0.245,0.017,0.765454545,76.2489,97.63214412
HPGD,-0.2245,0.017,0.765454545,16.434,26.24118595
MTHFD2,-0.2531,0.017,0.765454545,979.7852,1266.783201
NANP,-0.2072,0.017,0.765454545,216.2274,223.5175029
ICE2,-0.2303,0.017,0.765454545,650.5177,675.7000386
NSUN4,-0.215,0.017,0.765454545,482.4636,503.0645317
PCDHGB2,0.2558,0.017,0.765454545,680.2371,1093.476119
SLC16A3,0.2429,0.017,0.765454545,1039.1385,1260.978684
SLC8B1,0.2321,0.017,0.765454545,603.4008,599.2868993
SLC44A3,0.2279,0.017,0.765454545,235.0629,258.8212797
SOCS3,0.2343,0.017,0.765454545,1370.3704,2131.242158
ZFR2,0.2271,0.017,0.765454545,18.8088,48.97903039
ZNF823,-0.2204,0.017,0.765454545,92.0401,95.42601046
APOBR,0.2283,0.018,0.765454545,172.1787,193.6123791
NPR3,0.2258,0.018,0.765454545,12.5095,46.85303203
CAMK4,0.2478,0.018,0.765454545,19.4842,27.35215294
TCAF2,0.2271,0.018,0.765454545,461.9161,536.2439922
FURIN,0.2367,0.018,0.765454545,1264.9363,1453.216235
HOXB2,0.2114,0.018,0.765454545,101.6893,213.3776046
HOXC6,0.2107,0.018,0.765454545,51.0572,64.23236765
HSPA12A,0.2001,0.018,0.765454545,338.4551,420.8294788
HTRA1,0.2124,0.018,0.765454545,8455.3638,9527.447387
ING2,0.2212,0.018,0.765454545,233.6982,241.1313788
KCNA4,0.2415,0.018,0.765454545,3.3882,8.905752288
KCTD11,0.2215,0.018,0.765454545,438.6076,457.5174801
KIAA1324,0.2171,0.018,0.765454545,77.3654,118.507452
LINC01018,0.2306,0.018,0.765454545,11.2941,19.8648049
MANBA,0.2354,0.018,0.765454545,596.7608,629.4170536
PRPF40A,-0.2235,0.018,0.765454545,1573.4191,1606.525575
RELT,0.2529,0.018,0.765454545,415.9691,421.5592395
SEC11C,0.221,0.018,0.765454545,1462.6541,1770.243671
SLC10A5,-0.2228,0.018,0.765454545,3.8635,4.214262418
ZFP30,-0.2133,0.018,0.765454545,405.773,431.2337918
ZNF235,-0.2023,0.018,0.765454545,138.1739,145.2175199
ZNF260,-0.2314,0.018,0.765454545,760.8013,798.39895
APLP1,0.2148,0.019,0.765454545,3403.7383,4329.601447
CCDC169,-0.2106,0.019,0.765454545,25.1718,31.69431634
FAM228A,0.2489,0.019,0.765454545,8.1418,8.827840196
CD7,0.2304,0.019,0.765454545,23.5401,29.59169706
CYB561,0.2231,0.019,0.765454545,587.4462,650.2824729
DAPK2,0.2115,0.019,0.765454545,88.4032,96.33849118
FCRLA,0.2174,1.90E-02,0.765454545,14.0293,46.33580327
FGFR1,0.2312,0.019,0.765454545,2216.0973,2605.800712
GLUD2,-0.2337,0.019,0.765454545,642.8574,719.85945
GORAB,-0.2151,0.019,0.765454545,322.6741,355.1644768
HS3ST3A1,0.2052,0.019,0.765454545,33.1492,72.43341895
KCTD2,0.2193,0.019,0.765454545,1541.1877,1568.718823
NLRP12,0.2475,0.019,0.765454545,5.168,8.068546732
RPP25,0.2258,0.019,0.765454545,79.9619,103.5892745
TXNIP,0.2142,0.019,0.765454545,5122.3535,5862.138968
ZBTB5,-0.228,0.019,0.765454545,523.8813,565.2028441
ZNF20,-0.2088,0.019,0.765454545,182.7073,190.2069683
ZNF566,-0.2222,0.019,0.765454545,305.2632,314.3407026
ARSD,0.2119,0.02,0.765454545,888.9195,903.0038033
ATP6V1B2,0.2117,0.02,0.765454545,3766.4336,3978.781204
BAG3,0.2229,0.02,0.765454545,1009.3503,1121.392808
BSCL2,0.2162,0.02,0.765454545,1718.7326,2116.69041
C10orf67,0.2247,0.02,0.765454545,1.5083,2.884823529
C16orf45,0.2226,2.00E-02,0.765454545,2100.7326,2265.286902
C1QL2,0.2226,2.00E-02,0.765454545,10.0334,32.88330392
